ProjectTitle	ProjectNumber	ProjectID	Status	AssignedSize	Type	IssueNumber	IssueID	Title	Repository	Comments	LabelString	closingIssuesReferences	OG Queue	Closed	ClosedAt	RUNLABEL	LabelsCount	pm.f01	pm.f01-d-y02-a05-t01	pm.f01-d-y02-a03-t02	pm.f01-d-y02-a03-t01	D: GDC: Interop With DV	bklog: Deliverable	D: Dev	pm.f01-d-y01-a06-t01	pm.f01-d-y01-a02-t02	pm.f01-d-y01-a02-t01	pm.f01-d-y01-a05-t01	pm.f01-d-y01-a06-t02	pm.f01-d-y01-a04-t01	pm.f01-d-y01-a03-t01	pm.f01-d-y01-a03-t02	pm.f01-d-y01-a04-t02	pm.f01-d-y01-a07-t01	pm.f01-d-y01-a07-t02	pm.f02	NIH: NetCDF	D: Payara 6 Upgrade	D: Dataset: large number of files
'Dataverse_Other_Deliverables'	49	'PVT_kwDOAApNpc4AM0c1'	''		'ISSUE'	4	'PVTI_lADOAApNpc4AM0c1zgFP4BI'	'NIH AIM:5 YR:2 TASK:1 | 2.5.1 | Design and implement usage reports and data citation metrics based on Make Data Count'	'dataverse-pm'		'pm.f01','pm.f01-d-y02-a05-t01'		''	False	'None'	20230322-160447	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Dataverse_Other_Deliverables'	49	'PVT_kwDOAApNpc4AM0c1'	''		'ISSUE'	15	'PVTI_lADOAApNpc4AM0c1zgFP4BM'	'NIH AIM:3 YR:2 TASK:2 | 2.3.2 | Research and discovery phase for containers and research objects support'	'dataverse-pm'		'pm.f01','pm.f01-d-y02-a03-t02'		''	False	'None'	20230322-160447	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Dataverse_Other_Deliverables'	49	'PVT_kwDOAApNpc4AM0c1'	''		'ISSUE'	16	'PVTI_lADOAApNpc4AM0c1zgFP4BQ'	'NIH AIM:3 YR:2 TASK:1 | 2.3.1 | Support biomedical workflows'	'dataverse-pm'		'pm.f01','pm.f01-d-y02-a03-t01'		''	False	'None'	20230322-160447	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Dataverse_Other_Deliverables'	49	'PVT_kwDOAApNpc4AM0c1'	''		'ISSUE'	21	'PVTI_lADOAApNpc4AM0c1zgFP4Bg'	'NIH GREI Working Groups'	'dataverse-pm'		'pm.f01'		''	False	'None'	20230322-160447	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Dataverse_Other_Deliverables'	49	'PVT_kwDOAApNpc4AM0c1'	''		'ISSUE'	5	'PVTI_lADOAApNpc4AM0c1zgFP4Bo'	'6 | 1.6.1 | Integrate with OpenDP tools to support differentially private statistical releases of de-identified data deposited in the repository (in collaboration with the OpenDP.org project, currently partially funded with the Sloan Foundation) | 10'	'dataverse-pm'		'pm.f01','pm.f01-d-y01-a06-t01'		''	False	'None'	20230322-160447	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'Dataverse_Other_Deliverables'	49	'PVT_kwDOAApNpc4AM0c1'	''		'ISSUE'	6	'PVTI_lADOAApNpc4AM0c1zgFP4Bw'	'2 | 1.2.2 | Define use cases for DDI-CDI support | 5'	'dataverse-pm'		'pm.f01','pm.f01-d-y01-a02-t02'		''	False	'None'	20230322-160447	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
'Dataverse_Other_Deliverables'	49	'PVT_kwDOAApNpc4AM0c1'	''		'ISSUE'	7	'PVTI_lADOAApNpc4AM0c1zgFP4B4'	'2 | 1.2.1 | Design and implement integration with controlled vocabularies | 5 |'	'dataverse-pm'		'pm.f01','pm.f01-d-y01-a02-t01'		''	False	'None'	20230322-160447	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
'Dataverse_Other_Deliverables'	49	'PVT_kwDOAApNpc4AM0c1'	''		'ISSUE'	8	'PVTI_lADOAApNpc4AM0c1zgFP4B8'	'5 | 1.5.1 | Standardize download metrics for the Harvard Dataverse repository following Make Data Count'	'dataverse-pm'		'pm.f01','pm.f01-d-y01-a05-t01'		''	False	'None'	20230322-160447	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
'Dataverse_Other_Deliverables'	49	'PVT_kwDOAApNpc4AM0c1'	''		'ISSUE'	9	'PVTI_lADOAApNpc4AM0c1zgFP4CE'	'6 | 1.6.2 | Discovery phase to support DataTags | 10'	'dataverse-pm'		'pm.f01','pm.f01-d-y01-a06-t02'		''	False	'None'	20230322-160447	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
'Dataverse_Other_Deliverables'	49	'PVT_kwDOAApNpc4AM0c1'	''		'ISSUE'	10	'PVTI_lADOAApNpc4AM0c1zgFP4CI'	'4 | 1.4.1 | Resolve OAI-PMH harvesting issues | 5'	'dataverse-pm'		'pm.f01','pm.f01-d-y01-a04-t01'		''	False	'None'	20230322-160447	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
'Dataverse_Other_Deliverables'	49	'PVT_kwDOAApNpc4AM0c1'	''		'ISSUE'	11	'PVTI_lADOAApNpc4AM0c1zgFP4CM'	'3 | 1.3.1 & 1.3.2 | Support software metadata | 5'	'dataverse-pm'		'pm.f01','pm.f01-d-y01-a03-t01','pm.f01-d-y01-a03-t02'		''	False	'None'	20230322-160447	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
'Dataverse_Other_Deliverables'	49	'PVT_kwDOAApNpc4AM0c1'	''		'ISSUE'	12	'PVTI_lADOAApNpc4AM0c1zgFP4CQ'	'4 | 1.4.2 | Create working group on packaging standards to share metadata and data across repositories | 5'	'dataverse-pm'		'pm.f01','pm.f01-d-y01-a04-t02'		''	False	'None'	20230322-160447	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
'Dataverse_Other_Deliverables'	49	'PVT_kwDOAApNpc4AM0c1'	''		'ISSUE'	14	'PVTI_lADOAApNpc4AM0c1zgFP4CY'	'7 | 1.7.1 | & 1.7.2 Re Architecture Efforts'	'dataverse-pm'		'pm.f01','pm.f01-d-y01-a07-t01','pm.f01-d-y01-a07-t02'		''	False	'None'	20230322-160447	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
